FID,KUNSTWERKID,KUNSTWERKNAAM,KUNSTENAAR,EIGENDOM_VAN,LENGTEGRAAD,BREEDTEGRAAD,RD_X,RD_Y,LOKATIEBEELD,WEBSITEVERWIJZING,FOTO,CONTACT,DD_BRONBESTAND,DD_BIJGEWERKT,GEOMETRIE
CUL_KUNSTWERKEN.35,130,Mariken van Nieumeghen,Vera Tummers-van Hasselt,gemeente Nijmegen,"5,86350779","51,8476591",187819.8127478366,428894.425617839,Grote Markt,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=130,130.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2025-01-31,2025-03-12,POINT (187819.812747837 428894.425617839)
CUL_KUNSTWERKEN.36,216,Wapenreliëfs,Giuseppe Roverso,gemeente Nijmegen,5.862948,51.847641,187781.25403183745,428892.15913905617,Sint Stevenskerkhof 2,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=216,216.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2025-01-31,2025-03-12,POINT (187781.254031837 428892.159139056)
CUL_KUNSTWERKEN.37,416,Tegelwand,Jos Rutten,particulier,5.867454,51.844810,188093.8185993469,428579.24351051974,Mariënburg 59,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=416,416.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2025-01-31,2025-03-12,POINT (188093.818599347 428579.24351052)
CUL_KUNSTWERKEN.38,554,De natuuronderzoeker,Willem van der Velden,particulier,5.874054,51.820076,188567.05294475224,425830.5306883004,d'Almarasweg (Botanische tuin),https://www.nijmegen.nl/kos/kunstwerk.aspx?id=554,554.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2025-01-31,2025-03-12,POINT (188567.052944752 425830.5306883)
CUL_KUNSTWERKEN.39,549,WAT-ER-IS,Marc Ruygrok,gemeente Nijmegen,5.861208,51.847776,187661.2626112591,428906.3945349224,Ganzenheuvel/Hezelstraat,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=549,549.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2025-01-31,2025-03-12,POINT (187661.262611259 428906.394534922)
CUL_KUNSTWERKEN.40,570,Glazen Paneel,Montse Hernandez i Sala,gemeente Nijmegen,"5,87309422","51,8676363",188465.4921161732,431121.3358373085,Eikenlaan (Lent-Nijmegen),https://www.nijmegen.nl/kos/kunstwerk.aspx?id=570,570.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2025-01-31,2025-03-12,POINT (188465.492116173 431121.335837309)
CUL_KUNSTWERKEN.41,410,Sculptuur,Adri Verhoeven,particulier,"5,86169456","51,8143063",187719.10459803,425182.9940424254,Kanunnik Mijllinckstraat/Kanunnik Pelsstraat,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=410,410.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2025-01-31,2025-03-12,POINT (187719.10459803 425182.994042425)
CUL_KUNSTWERKEN.42,385,Omgevingsvormgeving,Emanuel Viegers,particulier,"5,83758004","51,8070087",186061.3103697105,424360.5257782879,Malderburchtstraat (entree Kandinsky College),https://www.nijmegen.nl/kos/kunstwerk.aspx?id=385,385.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2025-01-31,2025-03-12,POINT (186061.31036971 424360.525778288)
CUL_KUNSTWERKEN.43,532,De Schommel,Henk Visch,gemeente Nijmegen,5.866259,51.846098,188010.527975122,428721.994335049,Raadhuishof,https://www.nijmegen.nl/kos/kunstwerk.aspx?id=532,532.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2025-01-31,2025-03-12,POINT (188010.527975122 428721.994335049)
CUL_KUNSTWERKEN.44,504,Sculptuur,Carel Visser,gemeente Nijmegen,5.868557,51.839415,188173.80138516307,427979.53396648506,Prins Bernhardstraat (Julianapark),https://www.nijmegen.nl/kos/kunstwerk.aspx?id=504,504.01,"Bij ontwikkelingen in de nabijheid van kunstwerken, contact opnemen met de medewerker beeldende kunst / cultuurhistorie:
Edwin van der Staaij
e.van.der.staaij@nijmegen.nl
",2025-01-31,2025-03-12,POINT (188173.801385163 427979.533966485)
